Signal,Red,Yellow,Green,Vehicles_Crossed
Signal 3 RED,88,5,20,385
Signal 4 GREEN,0,5,8,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,1253
Signal 2 RED,62,5,20,1380
Signal 3 RED,87,5,20,385
Signal 4 GREEN,0,5,7,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,1253
Signal 2 RED,61,5,20,1380
Signal 3 RED,86,5,20,385
Signal 4 GREEN,0,5,6,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,1253
Signal 2 RED,60,5,20,1380
Signal 3 RED,85,5,20,385
Signal 4 GREEN,0,5,5,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,1253
Signal 2 RED,59,5,20,1380
Signal 3 RED,84,5,20,385
Signal 4 GREEN,0,5,4,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,1253
Signal 2 RED,58,5,20,1380
Signal 3 RED,83,5,20,385
Signal 4 GREEN,0,5,3,363
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,1253
Signal 2 RED,57,5,20,1380
Signal 3 RED,82,5,20,385
Signal 4 GREEN,0,5,2,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,1253
Signal 2 RED,56,5,20,1380
Signal 3 RED,81,5,20,385
Signal 4 GREEN,0,5,1,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,1253
Signal 2 RED,25,5,20,1380
Signal 3 RED,75,5,20,385
Signal 4 RED,100,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,1261
Signal 2 RED,24,5,20,1380
Signal 3 RED,74,5,20,385
Signal 4 RED,99,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,1269
Signal 2 RED,23,5,20,1380
Signal 3 RED,73,5,20,385
Signal 4 RED,98,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,1276
Signal 2 RED,22,5,20,1380
Signal 3 RED,72,5,20,385
Signal 4 RED,97,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,1280
Signal 2 RED,21,5,20,1380
Signal 3 RED,71,5,20,385
Signal 4 RED,96,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,1284
Signal 2 RED,20,5,20,1380
Signal 3 RED,70,5,20,385
Signal 4 RED,95,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,1289
Signal 2 RED,19,5,20,1380
Signal 3 RED,69,5,20,385
Signal 4 RED,94,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,1293
Signal 2 RED,18,5,20,1380
Signal 3 RED,68,5,20,385
Signal 4 RED,93,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,1295
Signal 2 RED,17,5,20,1380
Signal 3 RED,67,5,20,385
Signal 4 RED,92,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,1295
Signal 2 RED,16,5,20,1380
Signal 3 RED,66,5,20,385
Signal 4 RED,91,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,1295
Signal 2 RED,15,5,20,1380
Signal 3 RED,65,5,20,385
Signal 4 RED,90,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,1295
Signal 2 RED,14,5,20,1380
Signal 3 RED,64,5,20,385
Signal 4 RED,89,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,1295
Signal 2 RED,13,5,20,1380
Signal 3 RED,63,5,20,385
Signal 4 RED,88,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,1295
Signal 2 RED,12,5,20,1380
Signal 3 RED,62,5,20,385
Signal 4 RED,87,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,1295
Signal 2 RED,11,5,20,1380
Signal 3 RED,61,5,20,385
Signal 4 RED,86,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,1296
Signal 2 RED,10,5,20,1380
Signal 3 RED,60,5,20,385
Signal 4 RED,85,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,1298
Signal 2 RED,9,5,20,1380
Signal 3 RED,59,5,20,385
Signal 4 RED,84,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,1298
Signal 2 RED,8,5,20,1380
Signal 3 RED,58,5,20,385
Signal 4 RED,83,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,1298
Signal 2 RED,7,5,20,1380
Signal 3 RED,57,5,20,385
Signal 4 RED,82,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,1299
Signal 2 RED,6,5,20,1380
Signal 3 RED,56,5,20,385
Signal 4 RED,81,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,1299
Signal 2 GREEN,0,5,20,1380
Signal 3 RED,25,5,20,385
Signal 4 RED,75,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,1299
Signal 2 GREEN,0,5,19,1388
Signal 3 RED,24,5,20,385
Signal 4 RED,74,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,1299
Signal 2 GREEN,0,5,18,1392
Signal 3 RED,23,5,20,385
Signal 4 RED,73,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,1299
Signal 2 GREEN,0,5,17,1397
Signal 3 RED,22,5,20,385
Signal 4 RED,72,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,1299
Signal 2 GREEN,0,5,16,1401
Signal 3 RED,21,5,20,385
Signal 4 RED,71,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,1299
Signal 2 GREEN,0,5,15,1404
Signal 3 RED,20,5,20,385
Signal 4 RED,70,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,1299
Signal 2 GREEN,0,5,14,1407
Signal 3 RED,19,5,20,385
Signal 4 RED,69,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,1299
Signal 2 GREEN,0,5,13,1412
Signal 3 RED,18,5,20,385
Signal 4 RED,68,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,1299
Signal 2 GREEN,0,5,12,1416
Signal 3 RED,17,5,20,385
Signal 4 RED,67,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,1299
Signal 2 GREEN,0,5,11,1418
Signal 3 RED,16,5,20,385
Signal 4 RED,66,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,1299
Signal 2 GREEN,0,5,10,1420
Signal 3 RED,15,5,20,385
Signal 4 RED,65,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,1299
Signal 2 GREEN,0,5,9,1421
Signal 3 RED,14,5,20,385
Signal 4 RED,64,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,1299
Signal 2 GREEN,0,5,8,1422
Signal 3 RED,13,5,20,385
Signal 4 RED,63,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,1299
Signal 2 GREEN,0,5,7,1423
Signal 3 RED,12,5,20,385
Signal 4 RED,62,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,1299
Signal 2 GREEN,0,5,6,1423
Signal 3 RED,11,5,20,385
Signal 4 RED,61,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,1299
Signal 2 GREEN,0,5,5,1423
Signal 3 RED,10,5,20,385
Signal 4 RED,60,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,1299
Signal 2 GREEN,0,5,4,1423
Signal 3 RED,9,5,20,385
Signal 4 RED,59,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,1299
Signal 2 GREEN,0,5,3,1423
Signal 3 RED,8,5,20,385
Signal 4 RED,58,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,1299
Signal 2 GREEN,0,5,2,1423
Signal 3 RED,7,5,20,385
Signal 4 RED,57,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,1299
Signal 2 GREEN,0,5,1,1423
Signal 3 RED,6,5,20,385
Signal 4 RED,56,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,1299
Signal 2 RED,100,5,20,1423
Signal 3 GREEN,0,5,20,385
Signal 4 RED,25,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,1299
Signal 2 RED,99,5,20,1423
Signal 3 GREEN,0,5,19,391
Signal 4 RED,24,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,1299
Signal 2 RED,98,5,20,1423
Signal 3 GREEN,0,5,18,394
Signal 4 RED,23,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,1299
Signal 2 RED,97,5,20,1423
Signal 3 GREEN,0,5,17,395
Signal 4 RED,22,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,1299
Signal 2 RED,96,5,20,1423
Signal 3 GREEN,0,5,16,396
Signal 4 RED,21,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,1299
Signal 2 RED,95,5,20,1423
Signal 3 GREEN,0,5,15,396
Signal 4 RED,20,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,1299
Signal 2 RED,94,5,20,1423
Signal 3 GREEN,0,5,14,396
Signal 4 RED,19,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,1299
Signal 2 RED,93,5,20,1423
Signal 3 GREEN,0,5,13,396
Signal 4 RED,18,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,1299
Signal 2 RED,92,5,20,1423
Signal 3 GREEN,0,5,12,396
Signal 4 RED,17,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,1299
Signal 2 RED,91,5,20,1423
Signal 3 GREEN,0,5,11,396
Signal 4 RED,16,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,1299
Signal 2 RED,90,5,20,1423
Signal 3 GREEN,0,5,10,396
Signal 4 RED,15,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,1299
Signal 2 RED,89,5,20,1423
Signal 3 GREEN,0,5,9,396
Signal 4 RED,14,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,1299
Signal 2 RED,88,5,20,1423
Signal 3 GREEN,0,5,8,396
Signal 4 RED,13,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,1299
Signal 2 RED,87,5,20,1423
Signal 3 GREEN,0,5,7,397
Signal 4 RED,12,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,1299
Signal 2 RED,86,5,20,1423
Signal 3 GREEN,0,5,6,397
Signal 4 RED,11,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,1299
Signal 2 RED,85,5,20,1423
Signal 3 GREEN,0,5,5,397
Signal 4 RED,10,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,1299
Signal 2 RED,84,5,20,1423
Signal 3 GREEN,0,5,4,397
Signal 4 RED,9,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,1299
Signal 2 RED,83,5,20,1423
Signal 3 GREEN,0,5,3,397
Signal 4 RED,8,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,1299
Signal 2 RED,82,5,20,1423
Signal 3 GREEN,0,5,2,397
Signal 4 RED,7,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,1299
Signal 2 RED,81,5,20,1423
Signal 3 GREEN,0,5,1,397
Signal 4 RED,6,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,1299
Signal 2 RED,75,5,20,1423
Signal 3 RED,100,5,20,397
Signal 4 GREEN,0,5,20,364
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,1299
Signal 2 RED,74,5,20,1423
Signal 3 RED,99,5,20,397
Signal 4 GREEN,0,5,19,372
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,1299
Signal 2 RED,73,5,20,1423
Signal 3 RED,98,5,20,397
Signal 4 GREEN,0,5,18,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,1299
Signal 2 RED,72,5,20,1423
Signal 3 RED,97,5,20,397
Signal 4 GREEN,0,5,17,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,1299
Signal 2 RED,71,5,20,1423
Signal 3 RED,96,5,20,397
Signal 4 GREEN,0,5,16,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,1299
Signal 2 RED,70,5,20,1423
Signal 3 RED,95,5,20,397
Signal 4 GREEN,0,5,15,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,1299
Signal 2 RED,69,5,20,1423
Signal 3 RED,94,5,20,397
Signal 4 GREEN,0,5,14,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,1299
Signal 2 RED,68,5,20,1423
Signal 3 RED,93,5,20,397
Signal 4 GREEN,0,5,13,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,1299
Signal 2 RED,67,5,20,1423
Signal 3 RED,92,5,20,397
Signal 4 GREEN,0,5,12,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,1299
Signal 2 RED,66,5,20,1423
Signal 3 RED,91,5,20,397
Signal 4 GREEN,0,5,11,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,1299
Signal 2 RED,65,5,20,1423
Signal 3 RED,90,5,20,397
Signal 4 GREEN,0,5,10,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,1299
Signal 2 RED,64,5,20,1423
Signal 3 RED,89,5,20,397
Signal 4 GREEN,0,5,9,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,1299
Signal 2 RED,63,5,20,1423
Signal 3 RED,88,5,20,397
Signal 4 GREEN,0,5,8,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,1299
Signal 2 RED,62,5,20,1423
Signal 3 RED,87,5,20,397
Signal 4 GREEN,0,5,7,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,1299
Signal 2 RED,61,5,20,1423
Signal 3 RED,86,5,20,397
Signal 4 GREEN,0,5,6,375
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,1299
Signal 2 RED,60,5,20,1423
Signal 3 RED,85,5,20,397
Signal 4 GREEN,0,5,5,376
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,1299
Signal 2 RED,59,5,20,1423
Signal 3 RED,84,5,20,397
Signal 4 GREEN,0,5,4,376
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,1299
Signal 2 RED,58,5,20,1423
Signal 3 RED,83,5,20,397
Signal 4 GREEN,0,5,3,376
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,1299
Signal 2 RED,57,5,20,1423
Signal 3 RED,82,5,20,397
Signal 4 GREEN,0,5,2,376
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,1299
Signal 2 RED,56,5,20,1423
Signal 3 RED,81,5,20,397
Signal 4 GREEN,0,5,1,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,1299
Signal 2 RED,25,5,20,1423
Signal 3 RED,75,5,20,397
Signal 4 RED,100,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,1307
Signal 2 RED,24,5,20,1423
Signal 3 RED,74,5,20,397
Signal 4 RED,99,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,1314
Signal 2 RED,23,5,20,1423
Signal 3 RED,73,5,20,397
Signal 4 RED,98,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,1317
Signal 2 RED,22,5,20,1423
Signal 3 RED,72,5,20,397
Signal 4 RED,97,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,1320
Signal 2 RED,21,5,20,1423
Signal 3 RED,71,5,20,397
Signal 4 RED,96,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,1324
Signal 2 RED,20,5,20,1423
Signal 3 RED,70,5,20,397
Signal 4 RED,95,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,1328
Signal 2 RED,19,5,20,1423
Signal 3 RED,69,5,20,397
Signal 4 RED,94,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,1331
Signal 2 RED,18,5,20,1423
Signal 3 RED,68,5,20,397
Signal 4 RED,93,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,1335
Signal 2 RED,17,5,20,1423
Signal 3 RED,67,5,20,397
Signal 4 RED,92,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,1340
Signal 2 RED,16,5,20,1423
Signal 3 RED,66,5,20,397
Signal 4 RED,91,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,1342
Signal 2 RED,15,5,20,1423
Signal 3 RED,65,5,20,397
Signal 4 RED,90,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,1345
Signal 2 RED,14,5,20,1423
Signal 3 RED,64,5,20,397
Signal 4 RED,89,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,1346
Signal 2 RED,13,5,20,1423
Signal 3 RED,63,5,20,397
Signal 4 RED,88,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,1346
Signal 2 RED,12,5,20,1423
Signal 3 RED,62,5,20,397
Signal 4 RED,87,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,1347
Signal 2 RED,11,5,20,1423
Signal 3 RED,61,5,20,397
Signal 4 RED,86,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,1347
Signal 2 RED,10,5,20,1423
Signal 3 RED,60,5,20,397
Signal 4 RED,85,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,1347
Signal 2 RED,9,5,20,1423
Signal 3 RED,59,5,20,397
Signal 4 RED,84,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,1347
Signal 2 RED,8,5,20,1423
Signal 3 RED,58,5,20,397
Signal 4 RED,83,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,1347
Signal 2 RED,7,5,20,1423
Signal 3 RED,57,5,20,397
Signal 4 RED,82,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,1349
Signal 2 RED,6,5,20,1423
Signal 3 RED,56,5,20,397
Signal 4 RED,81,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,1350
Signal 2 GREEN,0,5,20,1423
Signal 3 RED,25,5,20,397
Signal 4 RED,75,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,1350
Signal 2 GREEN,0,5,19,1431
Signal 3 RED,24,5,20,397
Signal 4 RED,74,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,1350
Signal 2 GREEN,0,5,18,1440
Signal 3 RED,23,5,20,397
Signal 4 RED,73,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,1350
Signal 2 GREEN,0,5,17,1444
Signal 3 RED,22,5,20,397
Signal 4 RED,72,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,1350
Signal 2 GREEN,0,5,16,1447
Signal 3 RED,21,5,20,397
Signal 4 RED,71,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,1350
Signal 2 GREEN,0,5,15,1452
Signal 3 RED,20,5,20,397
Signal 4 RED,70,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,1350
Signal 2 GREEN,0,5,14,1455
Signal 3 RED,19,5,20,397
Signal 4 RED,69,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,1350
Signal 2 GREEN,0,5,13,1459
Signal 3 RED,18,5,20,397
Signal 4 RED,68,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,1350
Signal 2 GREEN,0,5,12,1462
Signal 3 RED,17,5,20,397
Signal 4 RED,67,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,1350
Signal 2 GREEN,0,5,11,1464
Signal 3 RED,16,5,20,397
Signal 4 RED,66,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,1350
Signal 2 GREEN,0,5,10,1465
Signal 3 RED,15,5,20,397
Signal 4 RED,65,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,1350
Signal 2 GREEN,0,5,9,1466
Signal 3 RED,14,5,20,397
Signal 4 RED,64,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,1350
Signal 2 GREEN,0,5,8,1466
Signal 3 RED,13,5,20,397
Signal 4 RED,63,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,1350
Signal 2 GREEN,0,5,7,1466
Signal 3 RED,12,5,20,397
Signal 4 RED,62,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,1350
Signal 2 GREEN,0,5,6,1466
Signal 3 RED,11,5,20,397
Signal 4 RED,61,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,1350
Signal 2 GREEN,0,5,5,1468
Signal 3 RED,10,5,20,397
Signal 4 RED,60,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,1350
Signal 2 GREEN,0,5,4,1470
Signal 3 RED,9,5,20,397
Signal 4 RED,59,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,1350
Signal 2 GREEN,0,5,3,1472
Signal 3 RED,8,5,20,397
Signal 4 RED,58,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,1350
Signal 2 GREEN,0,5,2,1472
Signal 3 RED,7,5,20,397
Signal 4 RED,57,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,1350
Signal 2 GREEN,0,5,1,1472
Signal 3 RED,6,5,20,397
Signal 4 RED,56,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,1350
Signal 2 RED,100,5,20,1472
Signal 3 GREEN,0,5,20,397
Signal 4 RED,25,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,1350
Signal 2 RED,99,5,20,1472
Signal 3 GREEN,0,5,19,402
Signal 4 RED,24,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,1350
Signal 2 RED,98,5,20,1472
Signal 3 GREEN,0,5,18,406
Signal 4 RED,23,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,1350
Signal 2 RED,97,5,20,1472
Signal 3 GREEN,0,5,17,408
Signal 4 RED,22,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,1350
Signal 2 RED,96,5,20,1472
Signal 3 GREEN,0,5,16,410
Signal 4 RED,21,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,1350
Signal 2 RED,95,5,20,1472
Signal 3 GREEN,0,5,15,411
Signal 4 RED,20,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,1350
Signal 2 RED,94,5,20,1472
Signal 3 GREEN,0,5,14,412
Signal 4 RED,19,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,1350
Signal 2 RED,93,5,20,1472
Signal 3 GREEN,0,5,13,412
Signal 4 RED,18,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,1350
Signal 2 RED,92,5,20,1472
Signal 3 GREEN,0,5,12,412
Signal 4 RED,17,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,1350
Signal 2 RED,91,5,20,1472
Signal 3 GREEN,0,5,11,412
Signal 4 RED,16,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,1350
Signal 2 RED,90,5,20,1472
Signal 3 GREEN,0,5,10,412
Signal 4 RED,15,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,1350
Signal 2 RED,89,5,20,1472
Signal 3 GREEN,0,5,9,412
Signal 4 RED,14,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,1350
Signal 2 RED,88,5,20,1472
Signal 3 GREEN,0,5,8,413
Signal 4 RED,13,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,1350
Signal 2 RED,87,5,20,1472
Signal 3 GREEN,0,5,7,413
Signal 4 RED,12,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,1350
Signal 2 RED,86,5,20,1472
Signal 3 GREEN,0,5,6,413
Signal 4 RED,11,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,1350
Signal 2 RED,85,5,20,1472
Signal 3 GREEN,0,5,5,415
Signal 4 RED,10,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,1350
Signal 2 RED,84,5,20,1472
Signal 3 GREEN,0,5,4,415
Signal 4 RED,9,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,1350
Signal 2 RED,83,5,20,1472
Signal 3 GREEN,0,5,3,415
Signal 4 RED,8,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,1350
Signal 2 RED,82,5,20,1472
Signal 3 GREEN,0,5,2,415
Signal 4 RED,7,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,1350
Signal 2 RED,81,5,20,1472
Signal 3 GREEN,0,5,1,415
Signal 4 RED,6,5,20,377
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,1350
Signal 2 RED,75,5,20,1472
Signal 3 RED,100,5,20,415
Signal 4 GREEN,0,5,20,377
,Red,Yellow,Green,Vehicles Crossed
