Signal,Red,Yellow,Green,Vehicles_Crossed
Signal 4 RED,95,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,44
Signal 2 RED,19,5,20,22
Signal 3 RED,69,5,20,8
Signal 4 RED,94,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,48
Signal 2 RED,18,5,20,22
Signal 3 RED,68,5,20,8
Signal 4 RED,93,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,49
Signal 2 RED,17,5,20,22
Signal 3 RED,67,5,20,8
Signal 4 RED,92,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,49
Signal 2 RED,16,5,20,22
Signal 3 RED,66,5,20,8
Signal 4 RED,91,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,49
Signal 2 RED,15,5,20,22
Signal 3 RED,65,5,20,8
Signal 4 RED,90,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,49
Signal 2 RED,14,5,20,22
Signal 3 RED,64,5,20,8
Signal 4 RED,89,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,50
Signal 2 RED,13,5,20,22
Signal 3 RED,63,5,20,8
Signal 4 RED,88,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,51
Signal 2 RED,12,5,20,22
Signal 3 RED,62,5,20,8
Signal 4 RED,87,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,52
Signal 2 RED,11,5,20,22
Signal 3 RED,61,5,20,8
Signal 4 RED,86,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,52
Signal 2 RED,10,5,20,22
Signal 3 RED,60,5,20,8
Signal 4 RED,85,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,53
Signal 2 RED,9,5,20,22
Signal 3 RED,59,5,20,8
Signal 4 RED,84,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,53
Signal 2 RED,8,5,20,22
Signal 3 RED,58,5,20,8
Signal 4 RED,83,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,53
Signal 2 RED,7,5,20,22
Signal 3 RED,57,5,20,8
Signal 4 RED,82,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,53
Signal 2 RED,6,5,20,22
Signal 3 RED,56,5,20,8
Signal 4 RED,81,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,54
Signal 2 GREEN,0,5,20,22
Signal 3 RED,25,5,20,8
Signal 4 RED,75,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,54
Signal 2 GREEN,0,5,19,33
Signal 3 RED,24,5,20,8
Signal 4 RED,74,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,54
Signal 2 GREEN,0,5,18,43
Signal 3 RED,23,5,20,8
Signal 4 RED,73,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,54
Signal 2 GREEN,0,5,17,51
Signal 3 RED,22,5,20,8
Signal 4 RED,72,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,54
Signal 2 GREEN,0,5,16,56
Signal 3 RED,21,5,20,8
Signal 4 RED,71,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,54
Signal 2 GREEN,0,5,15,62
Signal 3 RED,20,5,20,8
Signal 4 RED,70,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,54
Signal 2 GREEN,0,5,14,63
Signal 3 RED,19,5,20,8
Signal 4 RED,69,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,54
Signal 2 GREEN,0,5,13,63
Signal 3 RED,18,5,20,8
Signal 4 RED,68,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,54
Signal 2 GREEN,0,5,12,64
Signal 3 RED,17,5,20,8
Signal 4 RED,67,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,54
Signal 2 GREEN,0,5,11,65
Signal 3 RED,16,5,20,8
Signal 4 RED,66,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,54
Signal 2 GREEN,0,5,10,66
Signal 3 RED,15,5,20,8
Signal 4 RED,65,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,54
Signal 2 GREEN,0,5,9,66
Signal 3 RED,14,5,20,8
Signal 4 RED,64,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,54
Signal 2 GREEN,0,5,8,67
Signal 3 RED,13,5,20,8
Signal 4 RED,63,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,54
Signal 2 GREEN,0,5,7,68
Signal 3 RED,12,5,20,8
Signal 4 RED,62,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,54
Signal 2 GREEN,0,5,6,68
Signal 3 RED,11,5,20,8
Signal 4 RED,61,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,54
Signal 2 GREEN,0,5,5,70
Signal 3 RED,10,5,20,8
Signal 4 RED,60,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,54
Signal 2 GREEN,0,5,4,70
Signal 3 RED,9,5,20,8
Signal 4 RED,59,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,54
Signal 2 GREEN,0,5,3,70
Signal 3 RED,8,5,20,8
Signal 4 RED,58,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,54
Signal 2 GREEN,0,5,2,72
Signal 3 RED,7,5,20,8
Signal 4 RED,57,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,54
Signal 2 GREEN,0,5,1,74
Signal 3 RED,6,5,20,8
Signal 4 RED,56,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,54
Signal 2 RED,100,5,20,74
Signal 3 GREEN,0,5,20,8
Signal 4 RED,25,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,54
Signal 2 RED,99,5,20,74
Signal 3 GREEN,0,5,19,17
Signal 4 RED,24,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,54
Signal 2 RED,98,5,20,74
Signal 3 GREEN,0,5,18,20
