,State_Signal 1,Red_Signal 1,Green_Signal 1,Vehicles_Crossed_Signal 1,State_Signal 2,Red_Signal 2,Green_Signal 2,Vehicles_Crossed_Signal 2,State_Signal 3,Red_Signal 3,Green_Signal 3,Vehicles_Crossed_Signal 3,State_Signal 4,Red_Signal 4,Green_Signal 4,Vehicles_Crossed_Signal 4
150,GREEN,0,10,88,RED,15,20,74,RED,65,20,25,RED,90,20,30
151,GREEN,0,9,90,RED,14,20,74,RED,64,20,25,RED,89,20,30
152,GREEN,0,8,90,RED,13,20,74,RED,63,20,25,RED,88,20,30
153,GREEN,0,7,90,RED,12,20,74,RED,62,20,25,RED,87,20,30
154,GREEN,0,6,91,RED,11,20,74,RED,61,20,25,RED,86,20,30
155,GREEN,0,5,92,RED,10,20,74,RED,60,20,25,RED,85,20,30
156,GREEN,0,4,93,RED,9,20,74,RED,59,20,25,RED,84,20,30
157,GREEN,0,3,93,RED,8,20,74,RED,58,20,25,RED,83,20,30
158,GREEN,0,2,94,RED,7,20,74,RED,57,20,25,RED,82,20,30
159,GREEN,0,1,95,RED,6,20,74,RED,56,20,25,RED,81,20,30
160,RED,100,20,95,GREEN,0,20,74,RED,25,20,25,RED,75,20,30
161,RED,99,20,95,GREEN,0,19,84,RED,24,20,25,RED,74,20,30
162,RED,98,20,95,GREEN,0,18,94,RED,23,20,25,RED,73,20,30
163,RED,97,20,95,GREEN,0,17,104,RED,22,20,25,RED,72,20,30
164,RED,96,20,95,GREEN,0,16,111,RED,21,20,25,RED,71,20,30
165,RED,95,20,95,GREEN,0,15,113,RED,20,20,25,RED,70,20,30
166,RED,94,20,95,GREEN,0,14,115,RED,19,20,25,RED,69,20,30
167,RED,93,20,95,GREEN,0,13,118,RED,18,20,25,RED,68,20,30
168,RED,92,20,95,GREEN,0,12,121,RED,17,20,25,RED,67,20,30
169,RED,91,20,95,GREEN,0,11,124,RED,16,20,25,RED,66,20,30
170,RED,90,20,95,GREEN,0,10,126,RED,15,20,25,RED,65,20,30
171,RED,89,20,95,GREEN,0,9,128,RED,14,20,25,RED,64,20,30
172,RED,88,20,95,GREEN,0,8,128,RED,13,20,25,RED,63,20,30
173,RED,87,20,95,GREEN,0,7,128,RED,12,20,25,RED,62,20,30
174,RED,86,20,95,GREEN,0,6,128,RED,11,20,25,RED,61,20,30
175,RED,85,20,95,GREEN,0,5,128,RED,10,20,25,RED,60,20,30
176,RED,84,20,95,GREEN,0,4,128,RED,9,20,25,RED,59,20,30
177,RED,83,20,95,GREEN,0,3,128,RED,8,20,25,RED,58,20,30
178,RED,82,20,95,GREEN,0,2,128,RED,7,20,25,RED,57,20,30
179,RED,81,20,95,GREEN,0,1,129,RED,6,20,25,RED,56,20,30
180,RED,75,20,95,RED,100,20,129,GREEN,0,20,25,RED,25,20,30
181,RED,74,20,95,RED,99,20,129,GREEN,0,19,32,RED,24,20,30
182,RED,73,20,95,RED,98,20,129,GREEN,0,18,35,RED,23,20,30
183,RED,72,20,95,RED,97,20,129,GREEN,0,17,35,RED,22,20,30
184,RED,71,20,95,RED,96,20,129,GREEN,0,16,35,RED,21,20,30
185,RED,70,20,95,RED,95,20,129,GREEN,0,15,35,RED,20,20,30
186,RED,69,20,95,RED,94,20,129,GREEN,0,14,36,RED,19,20,30
187,RED,68,20,95,RED,93,20,129,GREEN,0,13,36,RED,18,20,30
188,RED,67,20,95,RED,92,20,129,GREEN,0,12,36,RED,17,20,30
189,RED,66,20,95,RED,91,20,129,GREEN,0,11,36,RED,16,20,30
190,RED,65,20,95,RED,90,20,129,GREEN,0,10,36,RED,15,20,30
191,RED,64,20,95,RED,89,20,129,GREEN,0,9,36,RED,14,20,30
192,RED,63,20,95,RED,88,20,129,GREEN,0,8,36,RED,13,20,30
193,RED,62,20,95,RED,87,20,129,GREEN,0,7,36,RED,12,20,30
194,RED,61,20,95,RED,86,20,129,GREEN,0,6,36,RED,11,20,30
195,RED,60,20,95,RED,85,20,129,GREEN,0,5,36,RED,10,20,30
196,RED,59,20,95,RED,84,20,129,GREEN,0,4,36,RED,9,20,30
197,RED,58,20,95,RED,83,20,129,GREEN,0,3,36,RED,8,20,30
198,RED,57,20,95,RED,82,20,129,GREEN,0,2,36,RED,7,20,30
199,RED,56,20,95,RED,81,20,129,GREEN,0,1,36,RED,6,20,30
200,RED,25,20,95,RED,75,20,129,RED,100,20,36,GREEN,0,20,30
201,RED,24,20,95,RED,74,20,129,RED,99,20,36,GREEN,0,19,39
202,RED,23,20,95,RED,73,20,129,RED,98,20,36,GREEN,0,18,43
203,RED,22,20,95,RED,72,20,129,RED,97,20,36,GREEN,0,17,44
204,RED,21,20,95,RED,71,20,129,RED,96,20,36,GREEN,0,16,44
205,RED,20,20,95,RED,70,20,129,RED,95,20,36,GREEN,0,15,44
206,RED,19,20,95,RED,69,20,129,RED,94,20,36,GREEN,0,14,44
207,RED,18,20,95,RED,68,20,129,RED,93,20,36,GREEN,0,13,44
208,RED,17,20,95,RED,67,20,129,RED,92,20,36,GREEN,0,12,44
209,RED,16,20,95,RED,66,20,129,RED,91,20,36,GREEN,0,11,45
210,RED,15,20,95,RED,65,20,129,RED,90,20,36,GREEN,0,10,45
211,RED,14,20,95,RED,64,20,129,RED,89,20,36,GREEN,0,9,45
212,RED,13,20,95,RED,63,20,129,RED,88,20,36,GREEN,0,8,45
213,RED,12,20,95,RED,62,20,129,RED,87,20,36,GREEN,0,7,45
214,RED,11,20,95,RED,61,20,129,RED,86,20,36,GREEN,0,6,46
215,RED,10,20,95,RED,60,20,129,RED,85,20,36,GREEN,0,5,46
216,RED,9,20,95,RED,59,20,129,RED,84,20,36,GREEN,0,4,46
217,RED,8,20,95,RED,58,20,129,RED,83,20,36,GREEN,0,3,46
218,RED,7,20,95,RED,57,20,129,RED,82,20,36,GREEN,0,2,46
219,RED,6,20,95,RED,56,20,129,RED,81,20,36,GREEN,0,1,46
220,GREEN,0,20,95,RED,25,20,129,RED,75,20,36,RED,100,20,46
221,GREEN,0,19,106,RED,24,20,129,RED,74,20,36,RED,99,20,46
222,GREEN,0,18,110,RED,23,20,129,RED,73,20,36,RED,98,20,46
223,GREEN,0,17,115,RED,22,20,129,RED,72,20,36,RED,97,20,46
224,GREEN,0,16,120,RED,21,20,129,RED,71,20,36,RED,96,20,46
225,GREEN,0,15,125,RED,20,20,129,RED,70,20,36,RED,95,20,46
226,GREEN,0,14,127,RED,19,20,129,RED,69,20,36,RED,94,20,46
227,GREEN,0,13,129,RED,18,20,129,RED,68,20,36,RED,93,20,46
228,GREEN,0,12,129,RED,17,20,129,RED,67,20,36,RED,92,20,46
229,GREEN,0,11,129,RED,16,20,129,RED,66,20,36,RED,91,20,46
230,GREEN,0,10,129,RED,15,20,129,RED,65,20,36,RED,90,20,46
231,GREEN,0,9,131,RED,14,20,129,RED,64,20,36,RED,89,20,46
232,GREEN,0,8,131,RED,13,20,129,RED,63,20,36,RED,88,20,46
233,GREEN,0,7,132,RED,12,20,129,RED,62,20,36,RED,87,20,46
234,GREEN,0,6,132,RED,11,20,129,RED,61,20,36,RED,86,20,46
235,GREEN,0,5,132,RED,10,20,129,RED,60,20,36,RED,85,20,46
236,GREEN,0,4,132,RED,9,20,129,RED,59,20,36,RED,84,20,46
237,GREEN,0,3,133,RED,8,20,129,RED,58,20,36,RED,83,20,46
238,GREEN,0,2,134,RED,7,20,129,RED,57,20,36,RED,82,20,46
239,GREEN,0,1,134,RED,6,20,129,RED,56,20,36,RED,81,20,46
240,RED,100,20,135,GREEN,0,20,129,RED,25,20,36,RED,75,20,46
241,RED,99,20,135,GREEN,0,19,139,RED,24,20,36,RED,74,20,46
242,RED,98,20,135,GREEN,0,18,150,RED,23,20,36,RED,73,20,46
243,RED,97,20,135,GREEN,0,17,156,RED,22,20,36,RED,72,20,46
244,RED,96,20,135,GREEN,0,16,162,RED,21,20,36,RED,71,20,46
245,RED,95,20,135,GREEN,0,15,166,RED,20,20,36,RED,70,20,46
246,RED,94,20,135,GREEN,0,14,171,RED,19,20,36,RED,69,20,46
247,RED,93,20,135,GREEN,0,13,175,RED,18,20,36,RED,68,20,46
248,RED,92,20,135,GREEN,0,12,179,RED,17,20,36,RED,67,20,46
249,RED,91,20,135,GREEN,0,11,179,RED,16,20,36,RED,66,20,46
250,RED,90,20,135,GREEN,0,10,179,RED,15,20,36,RED,65,20,46
251,RED,89,20,135,GREEN,0,9,179,RED,14,20,36,RED,64,20,46
252,RED,88,20,135,GREEN,0,8,179,RED,13,20,36,RED,63,20,46
253,RED,87,20,135,GREEN,0,7,179,RED,12,20,36,RED,62,20,46
254,RED,86,20,135,GREEN,0,6,180,RED,11,20,36,RED,61,20,46
255,RED,85,20,135,GREEN,0,5,180,RED,10,20,36,RED,60,20,46
256,RED,84,20,135,GREEN,0,4,181,RED,9,20,36,RED,59,20,46
257,RED,83,20,135,GREEN,0,3,183,RED,8,20,36,RED,58,20,46
258,RED,82,20,135,GREEN,0,2,183,RED,7,20,36,RED,57,20,46
